# ROVER COLOR SENSOR CHARACTERIZATION
# Date: 2026-08-28 16:36:42.813510
# Surface: GRIS
# Sensor under test (label only, set by firmware): DELANTERO
# Number of points: 4
# Samples per point: 50
# Sample interval: 250 ms
# Movement time between points: 10 s
surface,sensor_under_test,point,sample,ok,clear,r,g,b
GRIS,DELANTERO,1,1,1,1030,408,391,211
GRIS,DELANTERO,1,2,1,1101,441,414,224
GRIS,DELANTERO,1,3,1,1128,446,425,233
GRIS,DELANTERO,1,4,1,1070,426,403,221
GRIS,DELANTERO,1,5,1,868,345,327,180
GRIS,DELANTERO,1,6,1,1052,405,399,218
GRIS,DELANTERO,1,7,1,1563,606,599,325
GRIS,DELANTERO,1,8,1,1034,404,391,213
GRIS,DELANTERO,1,9,1,950,372,361,196
GRIS,DELANTERO,1,10,1,784,310,295,159
GRIS,DELANTERO,1,11,1,855,342,319,175
GRIS,DELANTERO,1,12,1,1246,492,478,259
GRIS,DELANTERO,1,13,1,928,371,347,191
GRIS,DELANTERO,1,14,1,830,332,314,171
GRIS,DELANTERO,1,15,1,735,295,275,150
GRIS,DELANTERO,1,16,1,931,373,352,193
GRIS,DELANTERO,1,17,1,683,274,255,139
GRIS,DELANTERO,1,18,1,847,335,319,175
GRIS,DELANTERO,1,19,1,792,320,296,163
GRIS,DELANTERO,1,20,1,467,193,173,97
GRIS,DELANTERO,1,21,1,911,363,343,188
GRIS,DELANTERO,1,22,1,892,357,335,185
GRIS,DELANTERO,1,23,1,763,308,285,158
GRIS,DELANTERO,1,24,1,628,252,235,130
GRIS,DELANTERO,1,25,1,816,324,306,169
GRIS,DELANTERO,1,26,1,817,323,306,169
GRIS,DELANTERO,1,27,1,629,254,235,130
GRIS,DELANTERO,1,28,1,957,383,359,197
GRIS,DELANTERO,1,29,1,1224,485,462,254
GRIS,DELANTERO,1,30,1,873,350,323,179
GRIS,DELANTERO,1,31,1,748,299,279,154
GRIS,DELANTERO,1,32,1,541,222,202,112
GRIS,DELANTERO,1,33,1,710,286,266,148
GRIS,DELANTERO,1,34,1,691,281,258,143
GRIS,DELANTERO,1,35,1,814,326,306,169
GRIS,DELANTERO,1,36,1,1206,479,454,248
GRIS,DELANTERO,1,37,1,883,353,332,181
GRIS,DELANTERO,1,38,1,360,150,133,75
GRIS,DELANTERO,1,39,1,552,226,206,115
GRIS,DELANTERO,1,40,1,579,236,216,119
GRIS,DELANTERO,1,41,1,766,309,287,158
GRIS,DELANTERO,1,42,1,796,319,298,165
GRIS,DELANTERO,1,43,1,718,289,269,149
GRIS,DELANTERO,1,44,1,496,203,185,103
GRIS,DELANTERO,1,45,1,664,268,248,137
GRIS,DELANTERO,1,46,1,925,371,344,191
GRIS,DELANTERO,1,47,1,716,290,267,148
GRIS,DELANTERO,1,48,1,719,290,270,149
GRIS,DELANTERO,1,49,1,631,256,231,128
GRIS,DELANTERO,1,50,1,707,284,264,146
GRIS,DELANTERO,2,1,1,1519,546,591,320
GRIS,DELANTERO,2,2,1,1700,630,660,358
GRIS,DELANTERO,2,3,1,1264,492,482,265
GRIS,DELANTERO,2,4,0,0,0,0,0
GRIS,DELANTERO,2,5,1,752,304,282,157
GRIS,DELANTERO,2,6,1,741,298,277,155
GRIS,DELANTERO,2,7,1,635,258,238,133
GRIS,DELANTERO,2,8,1,321,134,118,67
GRIS,DELANTERO,2,9,1,640,261,239,133
GRIS,DELANTERO,2,10,1,873,348,327,181
GRIS,DELANTERO,2,11,1,571,231,214,118
GRIS,DELANTERO,2,12,1,600,245,224,122
GRIS,DELANTERO,2,13,1,539,223,200,108
GRIS,DELANTERO,2,14,1,706,285,263,145
GRIS,DELANTERO,2,15,1,888,354,334,183
GRIS,DELANTERO,2,16,1,1039,408,393,215
GRIS,DELANTERO,2,17,1,844,338,317,174
GRIS,DELANTERO,2,18,1,496,203,184,101
GRIS,DELANTERO,2,19,1,872,347,328,180
GRIS,DELANTERO,2,20,1,503,205,187,103
GRIS,DELANTERO,2,21,1,525,214,195,109
GRIS,DELANTERO,2,22,1,638,258,238,133
GRIS,DELANTERO,2,23,1,594,240,221,123
GRIS,DELANTERO,2,24,1,887,353,335,184
GRIS,DELANTERO,2,25,1,996,395,376,206
GRIS,DELANTERO,2,26,1,723,289,271,149
GRIS,DELANTERO,2,27,1,680,276,253,141
GRIS,DELANTERO,2,28,1,879,348,330,183
GRIS,DELANTERO,2,29,1,598,243,222,125
GRIS,DELANTERO,2,30,1,613,250,228,126
GRIS,DELANTERO,2,31,1,819,329,306,169
GRIS,DELANTERO,2,32,1,606,247,225,126
GRIS,DELANTERO,2,33,1,505,207,187,104
GRIS,DELANTERO,2,34,1,671,265,247,136
GRIS,DELANTERO,2,35,1,961,377,363,199
GRIS,DELANTERO,2,36,1,620,253,230,127
GRIS,DELANTERO,2,37,1,630,256,235,129
GRIS,DELANTERO,2,38,1,1127,441,427,233
GRIS,DELANTERO,2,39,0,0,0,0,0
GRIS,DELANTERO,2,40,1,687,277,257,143
GRIS,DELANTERO,2,41,1,1013,399,383,210
GRIS,DELANTERO,2,42,1,669,271,250,139
GRIS,DELANTERO,2,43,1,857,341,323,178
GRIS,DELANTERO,2,44,1,852,339,319,176
GRIS,DELANTERO,2,45,1,754,306,282,155
GRIS,DELANTERO,2,46,1,873,347,328,182
GRIS,DELANTERO,2,47,1,939,372,354,195
GRIS,DELANTERO,2,48,1,970,385,365,201
GRIS,DELANTERO,2,49,1,962,380,362,200
GRIS,DELANTERO,2,50,1,844,335,316,175
GRIS,DELANTERO,3,1,1,1094,426,415,227
GRIS,DELANTERO,3,2,1,1105,432,419,229
GRIS,DELANTERO,3,3,1,877,349,329,181
GRIS,DELANTERO,3,4,1,1023,408,386,212
GRIS,DELANTERO,3,5,1,921,368,344,189
GRIS,DELANTERO,3,6,1,954,382,360,197
GRIS,DELANTERO,3,7,1,1048,417,397,218
GRIS,DELANTERO,3,8,1,598,244,223,124
GRIS,DELANTERO,3,9,1,719,291,269,148
GRIS,DELANTERO,3,10,1,796,317,298,165
GRIS,DELANTERO,3,11,1,592,241,220,122
GRIS,DELANTERO,3,12,1,722,290,271,150
GRIS,DELANTERO,3,13,1,647,262,242,134
GRIS,DELANTERO,3,14,1,725,297,270,148
GRIS,DELANTERO,3,15,1,1020,394,387,210
GRIS,DELANTERO,3,16,1,981,383,372,203
GRIS,DELANTERO,3,17,1,805,319,303,167
GRIS,DELANTERO,3,18,1,774,308,291,160
GRIS,DELANTERO,3,19,1,591,240,220,114
GRIS,DELANTERO,3,20,1,617,247,231,128
GRIS,DELANTERO,3,21,1,647,264,241,131
GRIS,DELANTERO,3,22,1,642,260,239,131
GRIS,DELANTERO,3,23,1,636,253,239,131
GRIS,DELANTERO,3,24,1,476,196,176,98
GRIS,DELANTERO,3,25,1,499,204,186,103
GRIS,DELANTERO,3,26,1,569,233,211,118
GRIS,DELANTERO,3,27,1,511,210,189,106
GRIS,DELANTERO,3,28,1,462,190,171,96
GRIS,DELANTERO,3,29,1,628,255,233,130
GRIS,DELANTERO,3,30,1,719,292,268,149
GRIS,DELANTERO,3,31,1,587,239,218,122
GRIS,DELANTERO,3,32,1,490,203,181,102
GRIS,DELANTERO,3,33,1,892,356,337,185
GRIS,DELANTERO,3,34,1,684,276,256,140
GRIS,DELANTERO,3,35,1,687,276,257,142
GRIS,DELANTERO,3,36,1,791,315,297,164
GRIS,DELANTERO,3,37,1,820,329,308,170
GRIS,DELANTERO,3,38,1,959,372,362,199
GRIS,DELANTERO,3,39,1,820,329,309,169
GRIS,DELANTERO,3,40,1,754,303,282,156
GRIS,DELANTERO,3,41,1,948,378,355,196
GRIS,DELANTERO,3,42,1,894,355,337,185
GRIS,DELANTERO,3,43,1,1017,401,384,209
GRIS,DELANTERO,3,44,1,907,360,343,187
GRIS,DELANTERO,3,45,1,1056,409,400,219
GRIS,DELANTERO,3,46,1,894,355,338,186
GRIS,DELANTERO,3,47,1,869,347,326,179
GRIS,DELANTERO,3,48,1,880,351,333,182
GRIS,DELANTERO,3,49,1,1030,416,387,214
GRIS,DELANTERO,3,50,1,858,340,324,178
GRIS,DELANTERO,4,1,1,1243,484,478,260
GRIS,DELANTERO,4,2,1,1235,496,462,255
GRIS,DELANTERO,4,3,1,905,357,343,188
GRIS,DELANTERO,4,4,1,837,332,316,174
GRIS,DELANTERO,4,5,1,405,168,150,84
GRIS,DELANTERO,4,6,1,605,247,225,125
GRIS,DELANTERO,4,7,1,612,248,228,127
GRIS,DELANTERO,4,8,1,486,200,181,101
GRIS,DELANTERO,4,9,1,479,197,178,99
GRIS,DELANTERO,4,10,1,394,163,146,82
GRIS,DELANTERO,4,11,1,651,264,242,134
GRIS,DELANTERO,4,12,1,733,295,274,151
GRIS,DELANTERO,4,13,1,637,258,237,131
GRIS,DELANTERO,4,14,1,878,349,331,182
GRIS,DELANTERO,4,15,1,1027,404,388,212
GRIS,DELANTERO,4,16,1,951,377,355,195
GRIS,DELANTERO,4,17,1,454,184,169,94
GRIS,DELANTERO,4,18,1,680,273,254,141
GRIS,DELANTERO,4,19,1,759,302,285,158
GRIS,DELANTERO,4,20,1,712,285,266,148
GRIS,DELANTERO,4,21,1,744,296,279,153
GRIS,DELANTERO,4,22,1,944,372,356,197
GRIS,DELANTERO,4,23,1,547,223,203,114
GRIS,DELANTERO,4,24,1,948,375,357,198
GRIS,DELANTERO,4,25,1,1192,468,452,248
GRIS,DELANTERO,4,26,1,1333,512,509,278
GRIS,DELANTERO,4,27,1,1827,652,723,390
GRIS,DELANTERO,4,28,1,1671,598,664,358
GRIS,DELANTERO,4,29,1,1228,475,468,256
GRIS,DELANTERO,4,30,1,1252,489,476,261
GRIS,DELANTERO,4,31,1,1256,479,482,263
GRIS,DELANTERO,4,32,1,752,301,281,155
GRIS,DELANTERO,4,33,1,718,294,268,147
GRIS,DELANTERO,4,34,1,627,255,233,128
GRIS,DELANTERO,4,35,1,635,259,236,130
GRIS,DELANTERO,4,36,1,521,214,194,106
GRIS,DELANTERO,4,37,1,397,163,147,80
GRIS,DELANTERO,4,38,1,590,242,219,121
GRIS,DELANTERO,4,39,1,616,253,229,126
GRIS,DELANTERO,4,40,1,755,305,282,156
GRIS,DELANTERO,4,41,1,771,309,289,158
GRIS,DELANTERO,4,42,1,883,355,331,183
GRIS,DELANTERO,4,43,1,965,382,364,200
GRIS,DELANTERO,4,44,1,950,380,356,196
GRIS,DELANTERO,4,45,1,802,320,299,165
GRIS,DELANTERO,4,46,1,862,350,322,178
GRIS,DELANTERO,4,47,1,825,333,310,171
GRIS,DELANTERO,4,48,1,919,367,346,191
GRIS,DELANTERO,4,49,1,1014,401,384,210
GRIS,DELANTERO,4,50,1,1399,525,541,293
