# ROVER COLOR SENSOR CHARACTERIZATION
# Date: 2026-08-28 16:35:04.716891
# Surface: ROJO
# Sensor under test (label only, set by firmware): DELANTERO
# Number of points: 1
# Samples per point: 150
# Sample interval: 250 ms
# Movement time between points: 10 s
surface,sensor_under_test,point,sample,ok,clear,r,g,b
ROJO,DELANTERO,1,1,1,1415,888,351,240
ROJO,DELANTERO,1,2,1,748,484,172,118
ROJO,DELANTERO,1,3,1,434,241,123,76
ROJO,DELANTERO,1,4,1,644,432,143,99
ROJO,DELANTERO,1,5,1,1132,774,238,167
ROJO,DELANTERO,1,6,1,1188,810,248,177
ROJO,DELANTERO,1,7,1,1443,943,366,227
ROJO,DELANTERO,1,8,1,1057,748,210,152
ROJO,DELANTERO,1,9,1,1084,758,224,158
ROJO,DELANTERO,1,10,1,1037,714,213,150
ROJO,DELANTERO,1,11,1,1090,756,220,157
ROJO,DELANTERO,1,12,1,923,665,170,129
ROJO,DELANTERO,1,13,1,902,635,177,129
ROJO,DELANTERO,1,14,1,1269,808,286,196
ROJO,DELANTERO,1,15,1,1013,702,217,150
ROJO,DELANTERO,1,16,1,1281,778,305,215
ROJO,DELANTERO,1,17,1,1082,690,252,175
ROJO,DELANTERO,1,18,1,855,583,181,128
ROJO,DELANTERO,1,19,1,957,622,206,147
ROJO,DELANTERO,1,20,1,978,613,227,159
ROJO,DELANTERO,1,21,1,712,487,141,102
ROJO,DELANTERO,1,22,1,650,462,128,94
ROJO,DELANTERO,1,23,1,669,459,135,98
ROJO,DELANTERO,1,24,1,617,426,130,92
ROJO,DELANTERO,1,25,1,660,410,162,111
ROJO,DELANTERO,1,26,1,644,340,191,112
ROJO,DELANTERO,1,27,1,616,414,133,94
ROJO,DELANTERO,1,28,1,605,400,131,91
ROJO,DELANTERO,1,29,1,640,453,124,92
ROJO,DELANTERO,1,30,1,688,490,127,96
ROJO,DELANTERO,1,31,1,827,586,159,118
ROJO,DELANTERO,1,32,1,926,643,184,135
ROJO,DELANTERO,1,33,1,1054,691,234,161
ROJO,DELANTERO,1,34,1,1088,702,245,167
ROJO,DELANTERO,1,35,1,1090,681,262,174
ROJO,DELANTERO,1,36,1,1104,685,265,176
ROJO,DELANTERO,1,37,1,1064,670,250,167
ROJO,DELANTERO,1,38,1,944,628,209,145
ROJO,DELANTERO,1,39,1,810,560,167,120
ROJO,DELANTERO,1,40,1,796,501,190,128
ROJO,DELANTERO,1,41,1,795,492,192,128
ROJO,DELANTERO,1,42,1,858,531,208,139
ROJO,DELANTERO,1,43,1,823,541,187,129
ROJO,DELANTERO,1,44,1,690,490,133,99
ROJO,DELANTERO,1,45,1,720,511,136,102
ROJO,DELANTERO,1,46,1,873,590,182,130
ROJO,DELANTERO,1,47,1,700,495,138,100
ROJO,DELANTERO,1,48,1,1121,695,267,185
ROJO,DELANTERO,1,49,1,1017,634,238,160
ROJO,DELANTERO,1,50,1,854,589,178,126
ROJO,DELANTERO,1,51,1,875,606,179,127
ROJO,DELANTERO,1,52,1,949,660,188,136
ROJO,DELANTERO,1,53,1,1129,779,231,166
ROJO,DELANTERO,1,54,1,1122,767,238,167
ROJO,DELANTERO,1,55,1,1139,746,244,171
ROJO,DELANTERO,1,56,1,945,625,209,144
ROJO,DELANTERO,1,57,1,1082,738,234,164
ROJO,DELANTERO,1,58,1,1133,746,264,176
ROJO,DELANTERO,1,59,1,1093,685,279,178
ROJO,DELANTERO,1,60,1,765,393,238,141
ROJO,DELANTERO,1,61,1,929,503,260,162
ROJO,DELANTERO,1,62,1,849,555,191,130
ROJO,DELANTERO,1,63,1,1275,878,260,190
ROJO,DELANTERO,1,64,1,1699,1079,390,264
ROJO,DELANTERO,1,65,1,1550,1022,341,237
ROJO,DELANTERO,1,66,1,1264,849,274,196
ROJO,DELANTERO,1,67,1,1251,853,263,190
ROJO,DELANTERO,1,68,1,1415,918,320,224
ROJO,DELANTERO,1,69,1,1381,931,303,215
ROJO,DELANTERO,1,70,1,1384,872,334,224
ROJO,DELANTERO,1,71,1,1638,988,420,272
ROJO,DELANTERO,1,72,1,1815,1130,444,300
ROJO,DELANTERO,1,73,1,2074,1253,536,349
ROJO,DELANTERO,1,74,1,1519,914,397,273
ROJO,DELANTERO,1,75,1,1364,836,352,248
ROJO,DELANTERO,1,76,1,1305,801,338,240
ROJO,DELANTERO,1,77,1,1293,794,335,238
ROJO,DELANTERO,1,78,1,1278,786,331,236
ROJO,DELANTERO,1,79,1,1267,780,328,234
ROJO,DELANTERO,1,80,1,1257,774,325,233
ROJO,DELANTERO,1,81,1,1248,769,323,232
ROJO,DELANTERO,1,82,1,1239,765,321,230
ROJO,DELANTERO,1,83,1,1213,753,312,226
ROJO,DELANTERO,1,84,1,1674,1054,406,275
ROJO,DELANTERO,1,85,1,1329,902,285,199
ROJO,DELANTERO,1,86,1,1392,955,296,206
ROJO,DELANTERO,1,87,1,1182,786,266,184
ROJO,DELANTERO,1,88,1,934,684,170,130
ROJO,DELANTERO,1,89,1,357,239,80,56
