# ROVER IR SENSOR CHARACTERIZATION
# Date: 2026-08-28 07:50:40.494239
# Surface: AZUL
# Number of points: 1
# Samples per point: 60
# Sample interval: 250 ms
# Movement time between points: 10 s
surface,point,sample,analog_QTRX_A,analog_QTRX_B,generic_IR
AZUL,1,1,2045,2558,1
AZUL,1,2,3039,2532,1
AZUL,1,3,2955,2419,1
AZUL,1,4,3079,2680,1
AZUL,1,5,2906,2610,1
AZUL,1,6,3008,2873,1
AZUL,1,7,2863,2744,1
AZUL,1,8,2813,2853,1
AZUL,1,9,2152,2665,1
AZUL,1,10,2806,2509,1
AZUL,1,11,2316,2655,1
AZUL,1,12,2965,2513,1
AZUL,1,13,2495,2730,1
AZUL,1,14,2807,2650,1
AZUL,1,15,2953,2572,1
AZUL,1,16,2868,1941,1
AZUL,1,17,3163,2452,1
AZUL,1,18,2774,2640,1
AZUL,1,19,2525,2655,1
AZUL,1,20,2391,2556,1
AZUL,1,21,2585,2641,1
AZUL,1,22,2889,2557,1
AZUL,1,23,2953,2406,1
AZUL,1,24,3084,2586,1
AZUL,1,25,2974,2380,1
AZUL,1,26,2814,2328,1
AZUL,1,27,2375,2307,1
AZUL,1,28,2906,2548,1
AZUL,1,29,2883,2860,1
AZUL,1,30,2879,2661,1
AZUL,1,31,2487,2350,1
AZUL,1,32,2540,2324,1
AZUL,1,33,2847,2762,1
AZUL,1,34,3568,2896,1
AZUL,1,35,3140,2874,1
AZUL,1,36,2896,2752,1
AZUL,1,37,2599,2813,1
AZUL,1,38,2379,2745,1
AZUL,1,39,2194,2616,1
AZUL,1,40,2467,2751,1
AZUL,1,41,2073,2558,1
AZUL,1,42,2533,2536,1
AZUL,1,43,2670,2816,1
AZUL,1,44,1593,2320,1
AZUL,1,45,2487,2586,1
AZUL,1,46,2814,2525,1
AZUL,1,47,2792,2562,1
AZUL,1,48,1996,2749,1
AZUL,1,49,2449,2576,1
AZUL,1,50,2521,2400,1
AZUL,1,51,2985,2554,1
AZUL,1,52,2344,2663,1
AZUL,1,53,2508,2612,1
AZUL,1,54,2314,2682,1
AZUL,1,55,2582,2753,1
AZUL,1,56,2613,2536,1
AZUL,1,57,2274,2796,1
AZUL,1,58,2811,2844,1
AZUL,1,59,3386,2897,1
AZUL,1,60,3346,2870,1
