# ROVER IR SENSOR CHARACTERIZATION
# Date: 2026-08-28 07:44:29.094429
# Surface: GRIS
# Number of points: 5
# Samples per point: 100
# Sample interval: 250 ms
# Movement time between points: 10 s
surface,point,sample,analog_QTRX_A,analog_QTRX_B,generic_IR
GRIS,1,1,3935,2898,1
GRIS,1,2,3104,2904,1
GRIS,1,3,2686,2882,1
GRIS,1,4,3458,2908,1
GRIS,1,5,4039,2859,1
GRIS,1,6,3154,2839,1
GRIS,1,7,3452,2874,1
GRIS,1,8,2976,2892,1
GRIS,1,9,2944,2916,1
GRIS,1,10,3474,2918,1
GRIS,1,11,3021,2877,1
GRIS,1,12,2916,2876,1
GRIS,1,13,3452,2857,1
GRIS,1,14,3143,2860,1
GRIS,1,15,3022,2894,1
GRIS,1,16,3818,2898,1
GRIS,1,17,4050,2921,1
GRIS,1,18,3597,2886,1
GRIS,1,19,3331,2816,1
GRIS,1,20,3420,2897,1
GRIS,1,21,2682,2901,1
GRIS,1,22,3192,2457,1
GRIS,1,23,3233,2781,1
GRIS,1,24,3398,2915,1
GRIS,1,25,3447,2861,1
GRIS,1,26,3452,2891,1
GRIS,1,27,3493,2909,1
GRIS,1,28,3557,2909,1
GRIS,1,29,3111,2731,1
GRIS,1,30,3368,2873,1
GRIS,1,31,3010,2772,1
GRIS,1,32,3804,2896,1
GRIS,1,33,3504,2832,1
GRIS,1,34,3706,2904,1
GRIS,1,35,3737,2917,1
GRIS,1,36,3421,2858,1
GRIS,1,37,3238,2916,1
GRIS,1,38,3731,2918,1
GRIS,1,39,3522,2887,1
GRIS,1,40,3597,2749,1
GRIS,1,41,3609,2772,1
GRIS,1,42,3518,2895,1
GRIS,1,43,3226,2817,1
GRIS,1,44,3727,2845,1
GRIS,1,45,3502,2890,1
GRIS,1,46,3877,2800,1
GRIS,1,47,3838,2726,1
GRIS,1,48,3606,2896,1
GRIS,1,49,3221,2912,1
GRIS,1,50,3548,2870,1
GRIS,1,51,3357,2859,1
GRIS,1,52,3743,2738,1
GRIS,1,53,3678,2904,1
GRIS,1,54,3640,2871,1
GRIS,1,55,3514,2889,1
GRIS,1,56,3607,2914,1
GRIS,1,57,3578,2873,1
GRIS,1,58,3133,2724,1
GRIS,1,59,3533,2885,1
GRIS,1,60,3782,2891,1
GRIS,1,61,3061,2848,1
GRIS,1,62,3413,2900,1
GRIS,1,63,3333,2895,1
GRIS,1,64,3306,2891,1
GRIS,1,65,3618,2889,1
GRIS,1,66,3548,2895,1
GRIS,1,67,3186,2823,1
GRIS,1,68,3153,2873,1
GRIS,1,69,3658,2857,1
GRIS,1,70,3204,2847,1
GRIS,1,71,3575,2877,1
GRIS,1,72,3542,2798,1
GRIS,1,73,3046,2893,1
GRIS,1,74,3600,2862,1
GRIS,1,75,3776,2902,1
GRIS,1,76,3266,2908,1
GRIS,1,77,2823,2900,1
GRIS,1,78,3470,2896,1
GRIS,1,79,3540,2908,1
GRIS,1,80,3365,2854,1
GRIS,1,81,2991,2860,1
GRIS,1,82,3012,2903,1
GRIS,1,83,2942,2902,1
GRIS,1,84,3686,2777,1
GRIS,1,85,2997,2904,1
GRIS,1,86,3538,2908,1
GRIS,1,87,3670,2906,1
GRIS,1,88,3967,2904,1
GRIS,1,89,3523,2774,1
GRIS,1,90,3592,2686,1
GRIS,1,91,3366,2853,1
GRIS,1,92,4095,2897,1
GRIS,1,93,4095,2905,1
GRIS,1,94,3699,2800,1
GRIS,1,95,3260,2861,1
GRIS,1,96,4066,2894,1
GRIS,1,97,4067,2905,1
GRIS,1,98,3801,2907,1
GRIS,1,99,3305,2890,1
GRIS,1,100,3520,2892,1
GRIS,2,1,4026,2890,1
GRIS,2,2,4020,2890,1
GRIS,2,3,4025,2890,1
GRIS,2,4,4021,2890,1
GRIS,2,5,4025,2890,1
GRIS,2,6,3877,2903,1
GRIS,2,7,3620,2839,1
GRIS,2,8,3208,2907,1
GRIS,2,9,3418,2790,1
GRIS,2,10,3636,2868,1
GRIS,2,11,3734,2910,1
GRIS,2,12,3602,2904,1
GRIS,2,13,3639,2903,1
GRIS,2,14,3458,2871,1
GRIS,2,15,3249,2868,1
GRIS,2,16,3584,2808,1
GRIS,2,17,3433,2906,1
GRIS,2,18,3241,2904,1
GRIS,2,19,3184,2902,1
GRIS,2,20,3378,2904,1
GRIS,2,21,4050,2890,1
GRIS,2,22,3665,2905,1
GRIS,2,23,3775,2878,1
GRIS,2,24,3209,2907,1
GRIS,2,25,3866,2899,1
GRIS,2,26,3288,2886,1
GRIS,2,27,3033,2888,1
GRIS,2,28,3348,2776,1
GRIS,2,29,3612,2878,1
GRIS,2,30,3613,2889,1
GRIS,2,31,3850,2872,1
GRIS,2,32,3759,2891,1
GRIS,2,33,3124,2890,1
GRIS,2,34,3844,2884,1
GRIS,2,35,3562,2892,1
GRIS,2,36,2716,2833,1
GRIS,2,37,3178,2855,1
GRIS,2,38,3594,2862,1
GRIS,2,39,3198,2894,1
GRIS,2,40,3072,2833,1
GRIS,2,41,3812,2892,1
GRIS,2,42,3767,2891,1
GRIS,2,43,3530,2910,1
GRIS,2,44,3974,2903,1
GRIS,2,45,3519,2873,1
GRIS,2,46,3485,2891,1
GRIS,2,47,3251,2823,1
GRIS,2,48,3525,2906,1
GRIS,2,49,3116,2844,1
GRIS,2,50,3238,2480,1
GRIS,2,51,3277,2888,1
GRIS,2,52,3313,2699,1
GRIS,2,53,3042,2892,1
GRIS,2,54,3140,2869,1
GRIS,2,55,3450,2848,1
GRIS,2,56,3866,2918,1
GRIS,2,57,3768,2912,1
GRIS,2,58,3796,2912,1
GRIS,2,59,3832,2914,1
GRIS,2,60,3844,2913,1
GRIS,2,61,3884,2913,1
GRIS,2,62,3218,2895,1
GRIS,2,63,3105,2814,1
GRIS,2,64,3853,2907,1
GRIS,2,65,3538,2886,1
GRIS,2,66,3499,2807,1
GRIS,2,67,2628,2877,1
GRIS,2,68,3050,2876,1
GRIS,2,69,3233,2891,1
GRIS,2,70,2849,2864,1
GRIS,2,71,3544,2838,1
GRIS,2,72,3097,2802,1
GRIS,2,73,3312,2815,1
GRIS,2,74,3711,2794,1
GRIS,2,75,3145,2748,1
GRIS,2,76,3246,2891,1
GRIS,2,77,3906,2875,1
GRIS,2,78,3726,2901,1
GRIS,2,79,3535,2743,1
GRIS,2,80,3640,2911,1
GRIS,2,81,4028,2900,1
GRIS,2,82,3767,2868,1
GRIS,2,83,3418,2913,1
GRIS,2,84,3481,2894,1
GRIS,2,85,3231,2892,1
GRIS,2,86,3224,2836,1
GRIS,2,87,3164,2887,1
GRIS,2,88,3740,2837,1
GRIS,2,89,3653,2891,1
GRIS,2,90,3215,2611,1
