# ROVER IR SENSOR CHARACTERIZATION
# Date: 2026-08-28 07:14:49.613293
# Surface: NEGRO
# Number of points: 4
# Samples per point: 60
# Sample interval: 250 ms
# Movement time between points: 10 s
surface,point,sample,analog_QTRX_A,analog_QTRX_B,generic_IR
NEGRO,1,1,0,212,1
NEGRO,1,2,0,197,1
NEGRO,1,3,0,192,1
NEGRO,1,4,0,189,1
NEGRO,1,5,0,186,1
NEGRO,1,6,0,184,1
NEGRO,1,7,0,185,1
NEGRO,1,8,0,185,1
NEGRO,1,9,0,188,1
NEGRO,1,10,0,185,1
NEGRO,1,11,0,185,1
NEGRO,1,12,0,186,1
NEGRO,1,13,0,185,1
NEGRO,1,14,0,182,1
NEGRO,1,15,0,188,1
NEGRO,1,16,0,180,1
NEGRO,1,17,0,186,1
NEGRO,1,18,0,184,1
NEGRO,1,19,0,185,1
NEGRO,1,20,0,182,1
NEGRO,1,21,0,180,1
NEGRO,1,22,0,176,1
NEGRO,1,23,0,176,1
NEGRO,1,24,0,175,1
NEGRO,1,25,0,172,1
NEGRO,1,26,0,179,1
NEGRO,1,27,0,172,1
NEGRO,1,28,0,170,1
NEGRO,1,29,0,175,1
NEGRO,1,30,0,165,1
NEGRO,1,31,0,170,1
NEGRO,1,32,0,176,1
NEGRO,1,33,0,177,1
NEGRO,1,34,0,176,1
NEGRO,1,35,0,178,1
NEGRO,1,36,0,171,1
NEGRO,1,37,0,174,1
NEGRO,1,38,0,171,1
NEGRO,1,39,0,171,1
NEGRO,1,40,0,173,1
NEGRO,1,41,0,173,1
NEGRO,1,42,0,174,1
NEGRO,1,43,0,173,1
NEGRO,1,44,0,172,1
NEGRO,1,45,0,131,1
NEGRO,1,46,0,171,1
NEGRO,1,47,0,169,1
NEGRO,1,48,0,145,1
NEGRO,1,49,0,172,1
NEGRO,1,50,0,173,1
NEGRO,1,51,0,175,1
NEGRO,1,52,0,173,1
NEGRO,1,53,0,172,1
NEGRO,1,54,0,174,1
NEGRO,1,55,0,168,1
NEGRO,1,56,0,167,1
NEGRO,1,57,0,166,1
NEGRO,1,58,0,175,1
NEGRO,1,59,0,168,1
NEGRO,1,60,0,170,1
NEGRO,2,1,0,205,1
NEGRO,2,2,0,192,1
NEGRO,2,3,0,185,1
NEGRO,2,4,0,178,1
NEGRO,2,5,0,176,1
NEGRO,2,6,0,173,1
NEGRO,2,7,0,174,1
NEGRO,2,8,0,176,1
NEGRO,2,9,0,175,1
NEGRO,2,10,0,174,1
NEGRO,2,11,0,171,1
NEGRO,2,12,0,173,1
NEGRO,2,13,0,169,1
NEGRO,2,14,0,169,1
NEGRO,2,15,0,170,1
NEGRO,2,16,0,177,1
NEGRO,2,17,0,177,1
NEGRO,2,18,0,181,1
NEGRO,2,19,0,194,1
NEGRO,2,20,0,167,1
