# ROVER COLOR SENSOR CHARACTERIZATION
# Date: 2026-08-28 16:33:06.758206
# Surface: AMARILLO
# Sensor under test (label only, set by firmware): DELANTERO
# Number of points: 2
# Samples per point: 100
# Sample interval: 250 ms
# Movement time between points: 10 s
surface,sensor_under_test,point,sample,ok,clear,r,g,b
AMARILLO,DELANTERO,1,1,1,4115,1941,1543,509
AMARILLO,DELANTERO,1,2,1,4145,1954,1549,518
AMARILLO,DELANTERO,1,3,1,4010,1896,1499,501
AMARILLO,DELANTERO,1,4,1,3958,1878,1471,508
AMARILLO,DELANTERO,1,5,1,4136,1956,1538,526
AMARILLO,DELANTERO,1,6,1,4092,1932,1524,522
AMARILLO,DELANTERO,1,7,1,4380,2058,1633,555
AMARILLO,DELANTERO,1,8,1,4595,2154,1720,575
AMARILLO,DELANTERO,1,9,1,4766,2231,1788,603
AMARILLO,DELANTERO,1,10,1,4742,2220,1781,595
AMARILLO,DELANTERO,1,11,1,4859,2278,1813,607
AMARILLO,DELANTERO,1,12,1,4811,2247,1809,595
AMARILLO,DELANTERO,1,13,1,5016,2339,1893,616
AMARILLO,DELANTERO,1,14,1,6135,2837,2318,759
AMARILLO,DELANTERO,1,15,1,7041,3251,2661,880
AMARILLO,DELANTERO,1,16,1,6626,3080,2490,827
AMARILLO,DELANTERO,1,17,1,7076,3386,2811,914
AMARILLO,DELANTERO,1,18,1,7041,3204,2691,876
AMARILLO,DELANTERO,1,19,1,4248,1937,1575,585
AMARILLO,DELANTERO,1,20,1,3776,1693,1397,536
AMARILLO,DELANTERO,1,21,1,5523,2527,2076,703
AMARILLO,DELANTERO,1,22,1,6765,3086,2592,845
AMARILLO,DELANTERO,1,23,1,6318,2908,2407,790
AMARILLO,DELANTERO,1,24,1,6376,2919,2416,797
AMARILLO,DELANTERO,1,25,1,6595,3001,2528,805
AMARILLO,DELANTERO,1,26,1,6569,2991,2518,800
AMARILLO,DELANTERO,1,27,1,5820,2687,2210,712
AMARILLO,DELANTERO,1,28,1,5222,2431,1973,652
AMARILLO,DELANTERO,1,29,1,4971,2323,1873,621
AMARILLO,DELANTERO,1,30,1,4083,1929,1523,503
AMARILLO,DELANTERO,1,31,1,4827,2263,1798,599
AMARILLO,DELANTERO,1,32,1,5227,2418,1947,698
AMARILLO,DELANTERO,1,33,1,4511,2115,1697,554
AMARILLO,DELANTERO,1,34,1,4676,2195,1756,575
AMARILLO,DELANTERO,1,35,1,4709,2216,1771,597
AMARILLO,DELANTERO,1,36,1,5017,2343,1873,651
AMARILLO,DELANTERO,1,37,1,4739,2230,1773,608
AMARILLO,DELANTERO,1,38,1,4192,1971,1556,535
AMARILLO,DELANTERO,1,39,1,4115,1936,1527,529
AMARILLO,DELANTERO,1,40,1,4182,1974,1547,527
