# ROVER COLOR SENSOR CHARACTERIZATION
# Date: 2026-09-07 16:24:30.042486
# Surface: AMARILLO
# Sensor under test: DELANTERO
# Number of points: 8
# Samples per point: 60
# Sample interval: 250 ms
# Movement time between points: 10 s
surface,sensor_under_test,point,sample,ok,clear,r,g,b
AMARILLO,DELANTERO,1,1,1,3684,1841,1260,371
AMARILLO,DELANTERO,1,2,1,3943,1961,1356,398
AMARILLO,DELANTERO,1,3,1,4306,2129,1487,434
AMARILLO,DELANTERO,1,4,1,4337,2143,1499,437
AMARILLO,DELANTERO,1,5,1,4339,2144,1499,436
AMARILLO,DELANTERO,1,6,1,4370,2159,1510,439
AMARILLO,DELANTERO,1,7,1,4316,2133,1492,434
AMARILLO,DELANTERO,1,8,1,4107,2035,1415,414
AMARILLO,DELANTERO,1,9,1,3926,1948,1347,401
AMARILLO,DELANTERO,1,10,1,3458,1729,1181,349
AMARILLO,DELANTERO,1,11,1,3200,1600,1095,325
AMARILLO,DELANTERO,1,12,1,3979,1972,1356,410
AMARILLO,DELANTERO,1,13,1,4460,2187,1525,486
AMARILLO,DELANTERO,1,14,1,3872,1936,1331,395
AMARILLO,DELANTERO,1,15,1,3735,1867,1285,382
AMARILLO,DELANTERO,1,16,1,3961,1975,1365,403
AMARILLO,DELANTERO,1,17,1,3954,1973,1361,401
AMARILLO,DELANTERO,1,18,1,3785,1892,1303,388
AMARILLO,DELANTERO,1,19,1,3571,1786,1227,369
AMARILLO,DELANTERO,1,20,1,3592,1796,1232,364
AMARILLO,DELANTERO,1,21,1,3428,1714,1168,363
AMARILLO,DELANTERO,1,22,1,3483,1736,1183,366
AMARILLO,DELANTERO,1,23,1,3445,1717,1166,358
AMARILLO,DELANTERO,1,24,1,3110,1556,1059,321
AMARILLO,DELANTERO,1,25,1,3160,1581,1079,323
AMARILLO,DELANTERO,1,26,1,3495,1747,1193,357
AMARILLO,DELANTERO,1,27,1,3622,1811,1240,371
AMARILLO,DELANTERO,1,28,1,5228,2557,1818,539
AMARILLO,DELANTERO,1,29,1,5316,2612,1862,551
AMARILLO,DELANTERO,1,30,1,5427,2648,1892,559
AMARILLO,DELANTERO,1,31,1,5314,2597,1849,547
AMARILLO,DELANTERO,1,32,1,5309,2594,1848,546
AMARILLO,DELANTERO,1,33,1,5328,2603,1855,548
AMARILLO,DELANTERO,1,34,1,5385,2631,1876,554
AMARILLO,DELANTERO,1,35,1,5402,2638,1883,556
AMARILLO,DELANTERO,1,36,1,5412,2642,1887,557
AMARILLO,DELANTERO,1,37,1,5405,2636,1885,555
AMARILLO,DELANTERO,1,38,1,5326,2604,1854,549
AMARILLO,DELANTERO,1,39,1,5333,2597,1840,567
AMARILLO,DELANTERO,1,40,1,5453,2652,1885,580
AMARILLO,DELANTERO,1,41,1,5588,2721,1944,593
AMARILLO,DELANTERO,1,42,1,5661,2756,1971,597
AMARILLO,DELANTERO,1,43,1,5609,2732,1954,591
AMARILLO,DELANTERO,1,44,1,5550,2710,1936,580
AMARILLO,DELANTERO,1,45,1,5406,2646,1889,555
AMARILLO,DELANTERO,1,46,1,5210,2556,1818,529
AMARILLO,DELANTERO,1,47,1,5092,2496,1765,515
AMARILLO,DELANTERO,1,48,1,5065,2493,1754,517
AMARILLO,DELANTERO,1,49,1,5409,2654,1880,558
AMARILLO,DELANTERO,1,50,1,5140,2524,1784,527
AMARILLO,DELANTERO,1,51,1,5295,2589,1834,551
AMARILLO,DELANTERO,1,52,1,5268,2590,1833,560
AMARILLO,DELANTERO,1,53,1,4844,2380,1681,492
AMARILLO,DELANTERO,1,54,1,4778,2353,1652,488
AMARILLO,DELANTERO,1,55,1,5126,2531,1764,522
AMARILLO,DELANTERO,1,56,1,4713,2320,1627,482
AMARILLO,DELANTERO,1,57,1,4109,2037,1416,417
AMARILLO,DELANTERO,1,58,1,4544,2250,1572,464
AMARILLO,DELANTERO,1,59,1,4361,2169,1500,448
AMARILLO,DELANTERO,1,60,1,4104,2050,1397,421
AMARILLO,DELANTERO,2,1,1,2507,1253,837,275
AMARILLO,DELANTERO,2,2,1,1295,561,446,197
AMARILLO,DELANTERO,2,3,1,1004,423,345,171
AMARILLO,DELANTERO,2,4,1,926,392,321,150
AMARILLO,DELANTERO,2,5,1,1281,565,444,179
AMARILLO,DELANTERO,2,6,1,2382,1103,811,275
AMARILLO,DELANTERO,2,7,1,3679,1788,1247,390
AMARILLO,DELANTERO,2,8,1,4927,2456,1674,494
AMARILLO,DELANTERO,2,9,1,4825,2409,1639,482
AMARILLO,DELANTERO,2,10,1,5326,2637,1825,531
AMARILLO,DELANTERO,2,11,1,5311,2629,1819,530
AMARILLO,DELANTERO,2,12,1,5325,2637,1825,531
AMARILLO,DELANTERO,2,13,1,5395,2668,1850,538
AMARILLO,DELANTERO,2,14,1,5404,2673,1854,539
AMARILLO,DELANTERO,2,15,1,5089,2526,1741,508
AMARILLO,DELANTERO,2,16,1,5056,2512,1729,507
AMARILLO,DELANTERO,2,17,1,5025,2496,1712,519
AMARILLO,DELANTERO,2,18,1,5186,2567,1771,537
AMARILLO,DELANTERO,2,19,1,5295,2619,1810,549
AMARILLO,DELANTERO,2,20,1,5014,2479,1719,511
AMARILLO,DELANTERO,2,21,1,4883,2414,1683,499
AMARILLO,DELANTERO,2,22,1,4616,2279,1595,472
AMARILLO,DELANTERO,2,23,1,4603,2273,1591,472
AMARILLO,DELANTERO,2,24,1,4501,2222,1549,467
AMARILLO,DELANTERO,2,25,1,4693,2313,1620,482
AMARILLO,DELANTERO,2,26,1,4308,2136,1481,442
AMARILLO,DELANTERO,2,27,1,4109,2041,1414,423
AMARILLO,DELANTERO,2,28,1,4143,2051,1409,438
AMARILLO,DELANTERO,2,29,1,3679,1841,1249,382
AMARILLO,DELANTERO,2,30,1,3787,1894,1284,391
AMARILLO,DELANTERO,2,31,1,3982,1980,1363,417
AMARILLO,DELANTERO,2,32,1,3852,1919,1317,399
AMARILLO,DELANTERO,2,33,1,3145,1574,1069,320
AMARILLO,DELANTERO,2,34,1,3283,1642,1121,334
AMARILLO,DELANTERO,2,35,1,3332,1666,1133,355
AMARILLO,DELANTERO,2,36,1,1996,1013,663,226
AMARILLO,DELANTERO,2,37,1,1951,950,678,216
AMARILLO,DELANTERO,2,38,1,2876,1440,985,295
AMARILLO,DELANTERO,2,39,1,3410,1707,1168,352
AMARILLO,DELANTERO,2,40,1,3449,1727,1178,352
AMARILLO,DELANTERO,2,41,1,3825,1909,1311,404
AMARILLO,DELANTERO,2,42,1,3716,1853,1270,378
AMARILLO,DELANTERO,2,43,1,3991,1983,1373,406
AMARILLO,DELANTERO,2,44,1,4278,2111,1476,454
AMARILLO,DELANTERO,2,45,1,4667,2298,1614,480
AMARILLO,DELANTERO,2,46,1,4674,2307,1611,481
