# ROVER COLOR SENSOR CHARACTERIZATION
# Date: 2026-08-28 16:31:35.246777
# Surface: AZUL
# Sensor under test (label only, set by firmware): DELANTERO
# Number of points: 1
# Samples per point: 150
# Sample interval: 250 ms
# Movement time between points: 10 s
surface,sensor_under_test,point,sample,ok,clear,r,g,b
AZUL,DELANTERO,1,1,1,835,214,312,286
AZUL,DELANTERO,1,2,1,852,223,316,289
AZUL,DELANTERO,1,3,1,789,175,307,280
AZUL,DELANTERO,1,4,1,853,215,320,295
AZUL,DELANTERO,1,5,1,906,241,345,235
AZUL,DELANTERO,1,6,1,495,159,171,163
AZUL,DELANTERO,1,7,1,548,179,187,179
AZUL,DELANTERO,1,8,1,591,185,207,192
AZUL,DELANTERO,1,9,1,547,162,192,185
AZUL,DELANTERO,1,10,1,465,153,159,153
AZUL,DELANTERO,1,11,1,438,148,149,142
AZUL,DELANTERO,1,12,1,418,141,143,135
AZUL,DELANTERO,1,13,1,369,131,127,113
AZUL,DELANTERO,1,14,1,395,143,134,117
AZUL,DELANTERO,1,15,1,263,93,89,83
AZUL,DELANTERO,1,16,1,298,106,101,93
AZUL,DELANTERO,1,17,1,356,127,123,108
AZUL,DELANTERO,1,18,1,382,131,131,121
AZUL,DELANTERO,1,19,1,391,131,134,124
AZUL,DELANTERO,1,20,1,480,165,164,147
AZUL,DELANTERO,1,21,1,434,143,150,139
AZUL,DELANTERO,1,22,1,385,137,131,118
AZUL,DELANTERO,1,23,1,387,134,135,120
AZUL,DELANTERO,1,24,1,395,140,140,115
AZUL,DELANTERO,1,25,1,410,144,145,122
AZUL,DELANTERO,1,26,1,452,161,159,135
AZUL,DELANTERO,1,27,1,460,162,160,135
AZUL,DELANTERO,1,28,1,436,152,152,128
AZUL,DELANTERO,1,29,1,329,115,113,101
AZUL,DELANTERO,1,30,1,340,119,116,109
AZUL,DELANTERO,1,31,1,230,71,78,81
AZUL,DELANTERO,1,32,1,403,138,143,132
AZUL,DELANTERO,1,33,1,314,95,106,113
AZUL,DELANTERO,1,34,1,359,125,129,115
AZUL,DELANTERO,1,35,1,316,98,108,112
AZUL,DELANTERO,1,36,1,638,230,209,180
AZUL,DELANTERO,1,37,1,303,97,104,106
AZUL,DELANTERO,1,38,1,321,102,109,112
AZUL,DELANTERO,1,39,1,344,112,116,116
AZUL,DELANTERO,1,40,1,449,143,156,150
AZUL,DELANTERO,1,41,1,602,196,211,189
AZUL,DELANTERO,1,42,1,563,185,194,179
AZUL,DELANTERO,1,43,1,537,165,188,179
AZUL,DELANTERO,1,44,1,718,216,255,230
AZUL,DELANTERO,1,45,1,760,248,262,234
AZUL,DELANTERO,1,46,1,678,197,242,226
AZUL,DELANTERO,1,47,1,854,273,298,260
AZUL,DELANTERO,1,48,1,581,181,202,189
AZUL,DELANTERO,1,49,1,662,215,231,213
AZUL,DELANTERO,1,50,1,728,217,262,237
AZUL,DELANTERO,1,51,1,595,173,212,201
AZUL,DELANTERO,1,52,1,588,180,207,192
AZUL,DELANTERO,1,53,1,494,152,169,165
AZUL,DELANTERO,1,54,1,525,159,179,172
AZUL,DELANTERO,1,55,1,554,168,189,180
AZUL,DELANTERO,1,56,1,564,171,193,184
AZUL,DELANTERO,1,57,1,490,147,170,165
AZUL,DELANTERO,1,58,1,406,126,146,133
AZUL,DELANTERO,1,59,1,510,158,170,169
AZUL,DELANTERO,1,60,1,530,167,181,174
AZUL,DELANTERO,1,61,1,548,175,191,178
AZUL,DELANTERO,1,62,1,511,168,176,165
AZUL,DELANTERO,1,63,1,469,149,163,155
AZUL,DELANTERO,1,64,1,391,123,133,134
AZUL,DELANTERO,1,65,1,428,141,147,139
AZUL,DELANTERO,1,66,1,429,142,149,142
AZUL,DELANTERO,1,67,1,393,127,138,136
AZUL,DELANTERO,1,68,1,406,130,142,140
AZUL,DELANTERO,1,69,1,415,133,145,143
AZUL,DELANTERO,1,70,1,418,134,146,144
AZUL,DELANTERO,1,71,1,440,144,155,149
AZUL,DELANTERO,1,72,1,473,157,165,155
AZUL,DELANTERO,1,73,1,528,177,185,167
AZUL,DELANTERO,1,74,1,531,182,185,164
AZUL,DELANTERO,1,75,1,441,144,156,146
AZUL,DELANTERO,1,76,1,428,142,144,135
AZUL,DELANTERO,1,77,1,350,122,115,106
AZUL,DELANTERO,1,78,1,504,186,183,149
AZUL,DELANTERO,1,79,1,485,155,172,161
AZUL,DELANTERO,1,80,1,703,208,255,235
AZUL,DELANTERO,1,81,1,907,179,229,226
