# ROVER COLOR SENSOR CHARACTERIZATION
# Date: 2026-09-07 17:42:37.183291
# Surface: GRIS
# Sensor under test: DELANTERO
# Number of points: 3
# Samples per point: 100
# Sample interval: 250 ms
# Movement time between points: 10 s
surface,sensor_under_test,point,sample,ok,clear,r,g,b
GRIS,DELANTERO,1,1,1,725,304,249,135
GRIS,DELANTERO,1,2,1,716,305,247,134
GRIS,DELANTERO,1,3,1,730,310,250,136
GRIS,DELANTERO,1,4,1,721,301,248,134
GRIS,DELANTERO,1,5,1,761,322,263,142
GRIS,DELANTERO,1,6,1,742,314,257,139
GRIS,DELANTERO,1,7,1,760,321,261,142
GRIS,DELANTERO,1,8,1,713,300,246,133
GRIS,DELANTERO,1,9,1,706,295,244,132
GRIS,DELANTERO,1,10,1,699,294,241,130
GRIS,DELANTERO,1,11,1,734,309,253,137
GRIS,DELANTERO,1,12,1,877,361,306,164
GRIS,DELANTERO,1,13,1,900,373,313,168
GRIS,DELANTERO,1,14,1,849,351,295,159
GRIS,DELANTERO,1,15,1,822,343,286,155
GRIS,DELANTERO,1,16,1,777,323,271,146
GRIS,DELANTERO,1,17,1,739,308,258,139
GRIS,DELANTERO,1,18,1,850,354,297,160
GRIS,DELANTERO,1,19,1,858,354,298,161
GRIS,DELANTERO,1,20,1,785,327,273,148
GRIS,DELANTERO,1,21,1,767,321,266,144
GRIS,DELANTERO,1,22,1,711,296,246,133
GRIS,DELANTERO,1,23,1,703,294,244,132
GRIS,DELANTERO,1,24,1,689,286,240,130
GRIS,DELANTERO,1,25,1,718,299,250,135
GRIS,DELANTERO,1,26,1,711,295,249,132
GRIS,DELANTERO,1,27,1,734,306,255,137
GRIS,DELANTERO,1,28,1,726,301,252,136
GRIS,DELANTERO,1,29,1,680,285,236,128
GRIS,DELANTERO,1,30,1,539,227,186,101
GRIS,DELANTERO,1,31,1,716,297,249,134
GRIS,DELANTERO,1,32,1,516,221,177,95
GRIS,DELANTERO,1,33,1,470,203,160,87
GRIS,DELANTERO,1,34,1,503,216,172,93
GRIS,DELANTERO,1,35,1,549,233,185,101
GRIS,DELANTERO,1,36,1,551,235,188,103
GRIS,DELANTERO,1,37,1,568,243,195,106
GRIS,DELANTERO,1,38,1,633,271,217,118
GRIS,DELANTERO,1,39,1,622,263,214,116
GRIS,DELANTERO,1,40,1,666,285,228,124
GRIS,DELANTERO,1,41,1,630,266,218,118
GRIS,DELANTERO,1,42,1,644,277,221,120
GRIS,DELANTERO,1,43,1,567,241,195,106
GRIS,DELANTERO,1,44,1,567,241,195,106
GRIS,DELANTERO,1,45,1,541,232,186,101
GRIS,DELANTERO,1,46,1,323,141,110,61
GRIS,DELANTERO,1,47,1,528,227,181,99
GRIS,DELANTERO,1,48,1,598,255,204,111
GRIS,DELANTERO,1,49,1,624,267,214,116
GRIS,DELANTERO,1,50,1,611,258,211,114
GRIS,DELANTERO,1,51,1,641,270,222,120
GRIS,DELANTERO,1,52,1,645,275,221,120
GRIS,DELANTERO,1,53,1,691,295,237,129
GRIS,DELANTERO,1,54,1,626,265,216,116
GRIS,DELANTERO,1,55,1,656,277,226,122
GRIS,DELANTERO,1,56,1,578,243,201,108
GRIS,DELANTERO,1,57,1,837,347,291,156
GRIS,DELANTERO,1,58,1,735,308,254,137
GRIS,DELANTERO,1,59,1,773,322,269,145
GRIS,DELANTERO,1,60,1,848,350,297,159
GRIS,DELANTERO,1,61,1,773,325,268,144
GRIS,DELANTERO,1,62,1,576,245,198,107
GRIS,DELANTERO,1,63,1,565,241,194,105
GRIS,DELANTERO,1,64,1,600,257,206,112
GRIS,DELANTERO,1,65,1,626,267,215,117
GRIS,DELANTERO,1,66,1,645,273,222,121
GRIS,DELANTERO,1,67,1,657,277,225,123
GRIS,DELANTERO,1,68,1,676,285,234,127
GRIS,DELANTERO,1,69,1,717,305,246,134
GRIS,DELANTERO,1,70,1,720,306,248,135
GRIS,DELANTERO,1,71,1,668,286,228,125
GRIS,DELANTERO,1,72,1,612,260,209,114
GRIS,DELANTERO,1,73,1,640,272,219,119
GRIS,DELANTERO,1,74,1,626,267,214,116
GRIS,DELANTERO,1,75,1,738,313,254,136
GRIS,DELANTERO,1,76,1,845,354,293,156
GRIS,DELANTERO,1,77,1,809,334,283,151
GRIS,DELANTERO,1,78,1,803,331,281,151
GRIS,DELANTERO,1,79,1,796,330,277,149
GRIS,DELANTERO,1,80,1,653,273,227,123
GRIS,DELANTERO,1,81,1,633,266,219,119
GRIS,DELANTERO,1,82,1,506,215,128,70
GRIS,DELANTERO,1,83,1,421,179,144,79
GRIS,DELANTERO,1,84,1,445,189,152,83
GRIS,DELANTERO,1,85,1,418,179,143,78
GRIS,DELANTERO,1,86,1,411,176,141,77
GRIS,DELANTERO,1,87,1,388,167,133,72
GRIS,DELANTERO,1,88,1,433,185,148,81
GRIS,DELANTERO,1,89,1,391,168,134,72
GRIS,DELANTERO,1,90,1,355,152,121,66
GRIS,DELANTERO,1,91,1,387,166,133,72
GRIS,DELANTERO,1,92,1,453,195,154,84
GRIS,DELANTERO,1,93,1,428,185,146,80
GRIS,DELANTERO,1,94,1,396,171,135,74
GRIS,DELANTERO,1,95,1,428,186,146,80
GRIS,DELANTERO,1,96,1,403,175,137,75
GRIS,DELANTERO,1,97,1,386,167,132,72
GRIS,DELANTERO,1,98,1,438,189,149,82
GRIS,DELANTERO,1,99,1,385,167,131,72
GRIS,DELANTERO,1,100,1,404,176,137,76
GRIS,DELANTERO,2,1,1,620,265,213,115
GRIS,DELANTERO,2,2,1,765,326,262,142
GRIS,DELANTERO,2,3,1,665,284,228,123
GRIS,DELANTERO,2,4,1,679,289,232,126
GRIS,DELANTERO,2,5,1,742,312,256,138
