# ROVER COLOR SENSOR CHARACTERIZATION
# Date: 2026-08-28 16:38:38.378535
# Surface: NEGRO
# Sensor under test (label only, set by firmware): DELANTERO
# Number of points: 4
# Samples per point: 50
# Sample interval: 250 ms
# Movement time between points: 10 s
surface,sensor_under_test,point,sample,ok,clear,r,g,b
NEGRO,DELANTERO,1,1,1,313,129,112,64
NEGRO,DELANTERO,1,2,1,307,126,111,63
NEGRO,DELANTERO,1,3,1,320,131,115,66
NEGRO,DELANTERO,1,4,1,355,147,132,74
NEGRO,DELANTERO,1,5,1,352,147,126,73
NEGRO,DELANTERO,1,6,1,257,106,94,54
NEGRO,DELANTERO,1,7,1,241,101,88,51
NEGRO,DELANTERO,1,8,1,427,180,163,95
NEGRO,DELANTERO,1,9,1,285,128,110,61
NEGRO,DELANTERO,1,10,1,275,119,92,54
NEGRO,DELANTERO,1,11,1,363,152,124,71
NEGRO,DELANTERO,1,12,1,355,155,137,76
NEGRO,DELANTERO,1,13,1,400,139,157,87
NEGRO,DELANTERO,1,14,1,436,156,169,93
NEGRO,DELANTERO,1,15,1,423,111,181,107
NEGRO,DELANTERO,1,16,1,420,121,179,100
NEGRO,DELANTERO,1,17,1,389,154,144,81
NEGRO,DELANTERO,1,18,1,414,154,162,89
NEGRO,DELANTERO,1,19,1,564,200,224,123
NEGRO,DELANTERO,1,20,1,669,238,264,145
NEGRO,DELANTERO,1,21,1,515,148,226,125
NEGRO,DELANTERO,1,22,1,414,147,164,90
NEGRO,DELANTERO,1,23,1,465,177,172,97
NEGRO,DELANTERO,1,24,1,461,187,171,95
NEGRO,DELANTERO,1,25,1,172,76,60,35
NEGRO,DELANTERO,1,26,1,218,96,79,46
NEGRO,DELANTERO,1,27,1,178,79,66,38
NEGRO,DELANTERO,1,28,1,275,117,95,56
NEGRO,DELANTERO,1,29,1,234,102,87,50
NEGRO,DELANTERO,1,30,1,241,102,89,51
NEGRO,DELANTERO,1,31,1,286,124,105,59
NEGRO,DELANTERO,1,32,1,307,135,110,65
NEGRO,DELANTERO,1,33,1,278,116,100,58
NEGRO,DELANTERO,1,34,1,223,93,81,47
NEGRO,DELANTERO,1,35,1,304,129,111,64
NEGRO,DELANTERO,1,36,1,389,162,137,80
NEGRO,DELANTERO,1,37,1,456,190,168,95
NEGRO,DELANTERO,1,38,1,321,129,116,66
NEGRO,DELANTERO,1,39,1,341,135,126,72
NEGRO,DELANTERO,1,40,1,306,131,111,63
NEGRO,DELANTERO,1,41,1,291,125,103,61
NEGRO,DELANTERO,1,42,1,279,122,103,58
NEGRO,DELANTERO,1,43,1,163,72,58,35
NEGRO,DELANTERO,1,44,1,225,95,80,46
NEGRO,DELANTERO,1,45,1,390,158,143,82
NEGRO,DELANTERO,1,46,1,591,221,226,127
NEGRO,DELANTERO,1,47,1,515,184,208,112
NEGRO,DELANTERO,1,48,1,413,113,178,107
NEGRO,DELANTERO,1,49,1,292,81,127,77
NEGRO,DELANTERO,1,50,1,421,113,184,107
NEGRO,DELANTERO,2,1,1,340,93,145,97
NEGRO,DELANTERO,2,2,1,338,98,142,93
NEGRO,DELANTERO,2,3,1,262,78,110,68
NEGRO,DELANTERO,2,4,1,577,149,252,162
NEGRO,DELANTERO,2,5,1,422,137,173,97
NEGRO,DELANTERO,2,6,1,674,238,261,146
NEGRO,DELANTERO,2,7,1,312,131,113,64
NEGRO,DELANTERO,2,8,1,390,150,148,83
NEGRO,DELANTERO,2,9,1,407,157,154,87
NEGRO,DELANTERO,2,10,1,600,209,240,133
NEGRO,DELANTERO,2,11,1,426,134,177,96
NEGRO,DELANTERO,2,12,1,614,171,260,149
NEGRO,DELANTERO,2,13,1,334,118,136,75
NEGRO,DELANTERO,2,14,1,801,300,308,175
NEGRO,DELANTERO,2,15,1,419,164,157,87
NEGRO,DELANTERO,2,16,1,269,106,100,57
NEGRO,DELANTERO,2,17,1,440,173,163,93
NEGRO,DELANTERO,2,18,1,374,159,137,77
NEGRO,DELANTERO,2,19,1,579,209,227,126
NEGRO,DELANTERO,2,20,1,619,211,248,137
NEGRO,DELANTERO,2,21,1,507,172,204,113
NEGRO,DELANTERO,2,22,1,350,138,132,74
NEGRO,DELANTERO,2,23,1,334,131,126,71
NEGRO,DELANTERO,2,24,1,634,235,248,137
NEGRO,DELANTERO,2,25,1,677,251,258,144
NEGRO,DELANTERO,2,26,1,249,109,87,51
NEGRO,DELANTERO,2,27,1,100,45,35,21
NEGRO,DELANTERO,2,28,1,375,147,141,79
NEGRO,DELANTERO,2,29,1,384,147,146,82
NEGRO,DELANTERO,2,30,1,562,163,238,133
NEGRO,DELANTERO,2,31,1,365,102,157,90
NEGRO,DELANTERO,2,32,1,297,80,129,80
NEGRO,DELANTERO,2,33,1,254,68,111,67
NEGRO,DELANTERO,2,34,1,433,136,178,99
NEGRO,DELANTERO,2,35,1,382,104,166,99
NEGRO,DELANTERO,2,36,1,382,96,169,110
NEGRO,DELANTERO,2,37,1,414,109,181,108
NEGRO,DELANTERO,2,38,1,766,230,323,182
NEGRO,DELANTERO,2,39,1,516,154,219,121
NEGRO,DELANTERO,2,40,1,508,147,226,130
NEGRO,DELANTERO,2,41,1,519,173,211,116
NEGRO,DELANTERO,2,42,1,383,143,152,83
NEGRO,DELANTERO,2,43,1,386,137,157,86
NEGRO,DELANTERO,2,44,1,239,76,93,128
NEGRO,DELANTERO,2,45,1,449,170,175,96
NEGRO,DELANTERO,2,46,1,570,195,227,124
NEGRO,DELANTERO,2,47,1,556,160,237,133
