# ROVER IR SENSOR CHARACTERIZATION
# Date: 2026-08-28 07:49:51.575106
# Surface: AMARILLO
# Number of points: 1
# Samples per point: 60
# Sample interval: 250 ms
# Movement time between points: 10 s
surface,point,sample,analog_QTRX_A,analog_QTRX_B,generic_IR
AMARILLO,1,1,2919,2377,1
AMARILLO,1,2,3487,2299,1
AMARILLO,1,3,2847,2282,1
AMARILLO,1,4,2719,2128,1
AMARILLO,1,5,2460,2137,1
AMARILLO,1,6,2422,2064,1
AMARILLO,1,7,2452,2014,1
AMARILLO,1,8,2647,2054,1
AMARILLO,1,9,2764,2459,1
AMARILLO,1,10,2733,2455,1
AMARILLO,1,11,2033,2350,1
AMARILLO,1,12,2715,2230,1
AMARILLO,1,13,2292,2236,1
AMARILLO,1,14,2417,2023,1
AMARILLO,1,15,2863,2039,1
AMARILLO,1,16,3079,2302,1
AMARILLO,1,17,2680,2191,1
AMARILLO,1,18,2664,2643,1
AMARILLO,1,19,2632,2752,1
AMARILLO,1,20,2537,1961,1
AMARILLO,1,21,2517,2243,1
AMARILLO,1,22,2940,2365,1
AMARILLO,1,23,2795,2408,1
AMARILLO,1,24,1806,2365,1
AMARILLO,1,25,2468,2570,1
AMARILLO,1,26,2369,2032,1
AMARILLO,1,27,2514,2488,1
AMARILLO,1,28,2541,2159,1
AMARILLO,1,29,2563,2439,1
AMARILLO,1,30,2468,2186,1
AMARILLO,1,31,2388,2106,1
AMARILLO,1,32,2534,2362,1
AMARILLO,1,33,2513,2105,1
AMARILLO,1,34,2407,2381,1
AMARILLO,1,35,1526,2142,1
AMARILLO,1,36,1755,1981,1
AMARILLO,1,37,2151,2020,1
AMARILLO,1,38,1957,2047,1
AMARILLO,1,39,3689,2472,1
AMARILLO,1,40,3692,1819,1
AMARILLO,1,41,3532,1995,1
AMARILLO,1,42,3579,1770,1
AMARILLO,1,43,3278,2236,1
AMARILLO,1,44,3804,2353,1
AMARILLO,1,45,3712,2605,1
AMARILLO,1,46,3637,2557,1
AMARILLO,1,47,3628,2081,1
AMARILLO,1,48,3130,2195,1
AMARILLO,1,49,1905,2193,1
AMARILLO,1,50,2371,2339,1
AMARILLO,1,51,1625,2186,1
AMARILLO,1,52,1496,2855,1
AMARILLO,1,53,1125,2873,1
AMARILLO,1,54,1462,1722,1
AMARILLO,1,55,911,2874,1
AMARILLO,1,56,1924,2863,1
AMARILLO,1,57,1726,1740,1
AMARILLO,1,58,2523,2310,1
AMARILLO,1,59,2189,2904,1
AMARILLO,1,60,2569,2919,1
