# ROVER IR SENSOR CHARACTERIZATION
# Date: 2026-08-28 15:18:21.627168
# Surface: GRIS
# Number of points: 5
# Samples per point: 100
# Sample interval: 250 ms
# Movement time between points: 10 s
surface,point,sample,analog_QTRX_A,analog_QTRX_B,generic_IR
GRIS,1,1,3897,2928,1
GRIS,1,2,3907,2928,1
GRIS,1,3,3786,2924,1
GRIS,1,4,3171,2901,1
GRIS,1,5,3463,2880,1
GRIS,1,6,3481,2895,1
GRIS,1,7,3458,2885,1
GRIS,1,8,3037,2894,1
GRIS,1,9,3238,2879,1
GRIS,1,10,3476,2892,1
GRIS,1,11,3567,2890,1
GRIS,1,12,3146,2873,1
GRIS,1,13,3438,2900,1
GRIS,1,14,3775,2912,1
GRIS,1,15,3657,2910,1
GRIS,1,16,3504,2901,1
GRIS,1,17,3543,2890,1
GRIS,1,18,3520,2867,1
GRIS,1,19,3667,2891,1
GRIS,1,20,3600,2875,1
GRIS,1,21,3688,2901,1
GRIS,1,22,3834,2906,1
GRIS,1,23,3617,2908,1
GRIS,1,24,3702,2888,1
GRIS,1,25,3471,2885,1
GRIS,1,26,3407,2848,1
GRIS,1,27,3425,2862,1
GRIS,1,28,3493,2872,1
GRIS,1,29,3410,2887,1
GRIS,1,30,3364,2784,1
GRIS,1,31,3132,2859,1
GRIS,1,32,3040,2875,1
GRIS,1,33,3223,2868,1
GRIS,1,34,3496,2874,1
GRIS,1,35,3184,2885,1
GRIS,1,36,3104,2894,1
GRIS,1,37,3368,2871,1
GRIS,1,38,2995,2873,1
GRIS,1,39,3362,2877,1
GRIS,1,40,3213,2830,1
GRIS,1,41,3118,2878,1
GRIS,1,42,3149,2883,1
GRIS,1,43,3538,2887,1
GRIS,1,44,3341,2872,1
GRIS,1,45,3179,2893,1
GRIS,1,46,3130,2892,1
GRIS,1,47,3419,2877,1
GRIS,1,48,3429,2833,1
GRIS,1,49,3436,2858,1
GRIS,1,50,3417,2863,1
GRIS,1,51,3301,2893,1
GRIS,1,52,3507,2861,1
GRIS,1,53,3391,2895,1
GRIS,1,54,3246,2899,1
GRIS,1,55,3439,2874,1
GRIS,1,56,3256,2886,1
GRIS,1,57,3384,2897,1
GRIS,1,58,2959,2862,1
GRIS,1,59,3044,2827,1
GRIS,1,60,3301,2869,1
GRIS,1,61,3426,2869,1
GRIS,1,62,3488,2887,1
GRIS,1,63,3652,2841,1
GRIS,1,64,2947,2875,1
GRIS,1,65,3210,2852,1
GRIS,1,66,3336,2867,1
GRIS,1,67,3205,2887,1
GRIS,1,68,3302,2883,1
GRIS,1,69,3384,2869,1
GRIS,1,70,3470,2867,1
GRIS,1,71,3342,2890,1
GRIS,1,72,2885,2839,1
GRIS,1,73,3496,2887,1
GRIS,1,74,3166,2852,1
GRIS,1,75,3439,2893,1
GRIS,1,76,3508,2886,1
GRIS,1,77,3041,2837,1
GRIS,1,78,3182,2844,1
GRIS,1,79,3336,2892,1
GRIS,1,80,3384,2870,1
GRIS,1,81,2876,2867,1
GRIS,1,82,3495,2904,1
GRIS,1,83,2764,2875,1
GRIS,1,84,3478,2855,1
GRIS,1,85,3412,2864,1
GRIS,1,86,3105,2845,1
GRIS,1,87,3525,2897,1
GRIS,1,88,3389,2891,1
GRIS,1,89,2990,2848,1
GRIS,1,90,3306,2825,1
GRIS,1,91,2964,2762,1
GRIS,1,92,3313,2873,1
GRIS,1,93,3363,2889,1
GRIS,1,94,3361,2860,1
GRIS,1,95,3372,2877,1
GRIS,1,96,3605,2898,1
GRIS,1,97,3139,2832,1
GRIS,1,98,3351,2887,1
GRIS,1,99,3416,2873,1
GRIS,1,100,3319,2879,1
GRIS,2,1,3219,2843,1
GRIS,2,2,3496,2866,1
GRIS,2,3,3116,2879,1
GRIS,2,4,3354,2896,1
GRIS,2,5,3339,2893,1
GRIS,2,6,3306,2854,1
GRIS,2,7,3248,2829,1
GRIS,2,8,3056,2870,1
GRIS,2,9,2917,2888,1
GRIS,2,10,3211,2886,1
GRIS,2,11,3373,2872,1
GRIS,2,12,3236,2890,1
GRIS,2,13,3020,2882,1
GRIS,2,14,3437,2865,1
GRIS,2,15,3521,2887,1
GRIS,2,16,3174,2889,1
GRIS,2,17,3170,2872,1
GRIS,2,18,3337,2855,1
GRIS,2,19,3512,2841,1
GRIS,2,20,3506,2889,1
GRIS,2,21,3388,2873,1
GRIS,2,22,3418,2874,1
GRIS,2,23,3391,2840,1
GRIS,2,24,3359,2831,1
GRIS,2,25,3430,2868,1
GRIS,2,26,2967,2894,1
GRIS,2,27,3151,2834,1
GRIS,2,28,3368,2802,1
GRIS,2,29,3605,2838,1
GRIS,2,30,3062,2839,1
GRIS,2,31,3384,2837,1
GRIS,2,32,3312,2871,1
GRIS,2,33,3068,2899,1
GRIS,2,34,2766,2869,1
GRIS,2,35,2985,2840,1
GRIS,2,36,3463,2855,1
GRIS,2,37,3182,2904,1
GRIS,2,38,3066,2900,1
GRIS,2,39,3464,2909,1
GRIS,2,40,3154,2874,1
GRIS,2,41,3634,2888,1
GRIS,2,42,3605,2860,1
GRIS,2,43,3435,2900,1
GRIS,2,44,3363,2882,1
GRIS,2,45,3564,2837,1
GRIS,2,46,3510,2861,1
GRIS,2,47,3487,2880,1
GRIS,2,48,3354,2863,1
GRIS,2,49,3642,2897,1
GRIS,2,50,3299,2841,1
GRIS,2,51,3501,2848,1
GRIS,2,52,3575,2896,1
GRIS,2,53,3505,2876,1
GRIS,2,54,3298,2870,1
GRIS,2,55,3496,2870,1
GRIS,2,56,3464,2875,1
GRIS,2,57,3527,2887,1
GRIS,2,58,3654,2893,1
GRIS,2,59,3415,2888,1
GRIS,2,60,3300,2890,1
GRIS,2,61,3404,2862,1
GRIS,2,62,3642,2857,1
GRIS,2,63,3222,2866,1
GRIS,2,64,3012,2881,1
GRIS,2,65,2883,2877,1
GRIS,2,66,3290,2879,1
GRIS,2,67,3050,2861,1
GRIS,2,68,2892,2860,1
GRIS,2,69,3620,2856,1
GRIS,2,70,3413,2850,1
GRIS,2,71,3434,2904,1
GRIS,2,72,3490,2879,1
GRIS,2,73,3508,2864,1
GRIS,2,74,3194,2897,1
GRIS,2,75,3635,2923,1
GRIS,2,76,3669,2927,1
GRIS,2,77,3495,2888,1
GRIS,2,78,3269,2852,1
GRIS,2,79,3366,2899,1
GRIS,2,80,3661,2898,1
GRIS,2,81,3454,2887,1
GRIS,2,82,3064,2888,1
GRIS,2,83,3513,2885,1
GRIS,2,84,3433,2848,1
GRIS,2,85,3065,2870,1
GRIS,2,86,3506,2900,1
GRIS,2,87,2915,2893,1
GRIS,2,88,3588,2914,1
GRIS,2,89,3248,2894,1
GRIS,2,90,3482,2889,1
GRIS,2,91,3274,2892,1
GRIS,2,92,3571,2904,1
GRIS,2,93,3478,2912,1
GRIS,2,94,3973,2929,1
GRIS,2,95,3504,2916,1
GRIS,2,96,3481,2899,1
GRIS,2,97,3485,2894,1
GRIS,2,98,3576,2873,1
GRIS,2,99,3551,2865,1
GRIS,2,100,3475,2844,1
GRIS,3,1,3151,2894,1
GRIS,3,2,3253,2874,1
GRIS,3,3,3476,2896,1
GRIS,3,4,3392,2871,1
GRIS,3,5,3359,2875,1
GRIS,3,6,3396,2845,1
GRIS,3,7,3151,2870,1
GRIS,3,8,3273,2881,1
GRIS,3,9,3282,2859,1
GRIS,3,10,2997,2849,1
GRIS,3,11,3500,2890,1
GRIS,3,12,3490,2900,1
GRIS,3,13,3537,2911,1
GRIS,3,14,3366,2846,1
GRIS,3,15,3370,2796,1
GRIS,3,16,3501,2871,1
GRIS,3,17,3257,2892,1
GRIS,3,18,3409,2884,1
GRIS,3,19,3377,2902,1
GRIS,3,20,3457,2880,1
GRIS,3,21,3324,2839,1
GRIS,3,22,3420,2888,1
GRIS,3,23,3276,2872,1
GRIS,3,24,3322,2889,1
GRIS,3,25,3296,2901,1
GRIS,3,26,3261,2892,1
GRIS,3,27,3387,2902,1
GRIS,3,28,3160,2886,1
GRIS,3,29,3647,2902,1
GRIS,3,30,3367,2864,1
GRIS,3,31,3524,2866,1
GRIS,3,32,3530,2858,1
GRIS,3,33,3484,2880,1
GRIS,3,34,3731,2892,1
GRIS,3,35,3538,2907,1
GRIS,3,36,3683,2879,1
GRIS,3,37,3332,2868,1
GRIS,3,38,3378,2889,1
GRIS,3,39,3372,2859,1
GRIS,3,40,3323,2870,1
GRIS,3,41,3512,2900,1
GRIS,3,42,3454,2898,1
GRIS,3,43,3436,2891,1
GRIS,3,44,3553,2856,1
GRIS,3,45,3419,2875,1
GRIS,3,46,3559,2869,1
GRIS,3,47,3539,2846,1
GRIS,3,48,3183,2894,1
GRIS,3,49,3531,2871,1
GRIS,3,50,3513,2896,1
GRIS,3,51,3365,2867,1
GRIS,3,52,3370,2896,1
GRIS,3,53,3609,2880,1
GRIS,3,54,3479,2888,1
GRIS,3,55,3600,2912,1
GRIS,3,56,3615,2903,1
GRIS,3,57,3413,1962,1
GRIS,3,58,3638,2879,1
GRIS,3,59,3391,2869,1
GRIS,3,60,3356,2841,1
GRIS,3,61,3167,2897,1
GRIS,3,62,2888,2873,1
GRIS,3,63,3327,2893,1
GRIS,3,64,3320,2898,1
GRIS,3,65,3464,2848,1
GRIS,3,66,3132,2887,1
GRIS,3,67,3195,2887,1
GRIS,3,68,3206,2858,1
GRIS,3,69,3484,2866,1
GRIS,3,70,3323,2888,1
GRIS,3,71,3443,2893,1
GRIS,3,72,3387,2877,1
GRIS,3,73,3494,2844,1
GRIS,3,74,3370,2877,1
GRIS,3,75,3131,2875,1
GRIS,3,76,3500,2859,1
GRIS,3,77,3314,2853,1
GRIS,3,78,3338,2875,1
GRIS,3,79,3428,2884,1
GRIS,3,80,3397,2890,1
GRIS,3,81,3429,2905,1
GRIS,3,82,3545,2895,1
GRIS,3,83,3550,2892,1
GRIS,3,84,3441,2896,1
GRIS,3,85,3192,2885,1
GRIS,3,86,3244,2899,1
GRIS,3,87,3515,2893,1
GRIS,3,88,3128,2872,1
GRIS,3,89,3180,2866,1
GRIS,3,90,3451,2894,1
GRIS,3,91,3406,2874,1
GRIS,3,92,3394,2871,1
GRIS,3,93,3240,2890,1
GRIS,3,94,3461,2871,1
GRIS,3,95,3310,2879,1
GRIS,3,96,3517,2879,1
GRIS,3,97,3497,2904,1
GRIS,3,98,3241,2913,1
GRIS,3,99,3447,2908,1
GRIS,3,100,3441,2880,1
GRIS,4,1,3433,2871,1
GRIS,4,2,3021,2783,1
GRIS,4,3,3239,2787,1
GRIS,4,4,2869,2872,1
GRIS,4,5,2852,2872,1
GRIS,4,6,2955,2857,1
GRIS,4,7,3407,2868,1
GRIS,4,8,3586,2872,1
GRIS,4,9,3374,2865,1
GRIS,4,10,3613,2900,1
GRIS,4,11,3518,2881,1
GRIS,4,12,3403,2874,1
GRIS,4,13,3368,2867,1
GRIS,4,14,3393,2860,1
GRIS,4,15,3496,2859,1
GRIS,4,16,3472,2896,1
GRIS,4,17,3645,2898,1
GRIS,4,18,3592,2892,1
GRIS,4,19,3574,2903,1
GRIS,4,20,3555,2869,1
GRIS,4,21,3644,2902,1
GRIS,4,22,3260,2897,1
GRIS,4,23,3748,2888,1
GRIS,4,24,3692,2896,1
GRIS,4,25,3215,2882,1
GRIS,4,26,3067,2847,1
GRIS,4,27,3104,2894,1
GRIS,4,28,3517,2857,1
GRIS,4,29,3577,2854,1
GRIS,4,30,3323,2863,1
GRIS,4,31,3215,2889,1
GRIS,4,32,3412,2851,1
