# ROVER IR SENSOR CHARACTERIZATION
# Date: 2026-08-28 15:36:20.805728
# Surface: NEGRO
# Number of points: 4
# Samples per point: 60
# Sample interval: 250 ms
# Movement time between points: 10 s
surface,point,sample,analog_QTRX_A,analog_QTRX_B,generic_IR
NEGRO,1,1,4095,2918,1
NEGRO,1,2,4095,2919,1
NEGRO,1,3,3142,2931,1
NEGRO,1,4,3979,2924,1
NEGRO,1,5,3637,2925,1
NEGRO,1,6,3968,2925,1
NEGRO,1,7,3761,2921,1
NEGRO,1,8,4028,2873,1
NEGRO,1,9,3540,2923,1
NEGRO,1,10,4058,2913,1
NEGRO,1,11,3224,2933,1
NEGRO,1,12,3024,2932,1
NEGRO,1,13,3893,2917,1
NEGRO,1,14,4095,2864,1
NEGRO,1,15,4095,2859,1
NEGRO,1,16,4095,2874,1
NEGRO,1,17,3989,2892,1
NEGRO,1,18,4045,2918,1
NEGRO,1,19,4095,2919,1
NEGRO,1,20,4095,2893,1
NEGRO,1,21,4095,2910,1
NEGRO,1,22,4087,2925,1
NEGRO,1,23,3703,2934,1
NEGRO,1,24,3993,2935,1
NEGRO,1,25,3775,2933,1
NEGRO,1,26,3670,2934,1
NEGRO,1,27,4044,2911,1
NEGRO,1,28,3003,2933,1
NEGRO,1,29,3989,2935,1
NEGRO,1,30,3685,2930,1
NEGRO,1,31,4080,2935,1
NEGRO,1,32,4095,2919,1
NEGRO,1,33,4018,2934,1
NEGRO,1,34,3974,2933,1
NEGRO,1,35,3955,2918,1
NEGRO,1,36,4095,2930,1
NEGRO,1,37,3841,2934,1
NEGRO,1,38,4008,2929,1
NEGRO,1,39,4079,2934,1
NEGRO,1,40,3852,2924,1
NEGRO,1,41,3959,2935,1
NEGRO,1,42,4094,2934,1
NEGRO,1,43,3463,2909,1
NEGRO,1,44,3542,2927,1
NEGRO,1,45,3945,2904,1
NEGRO,1,46,4022,2930,1
NEGRO,1,47,2915,2924,1
NEGRO,1,48,4092,2929,1
NEGRO,1,49,3899,2932,1
NEGRO,1,50,3774,2903,1
NEGRO,1,51,4078,2925,1
NEGRO,1,52,3666,2931,1
NEGRO,1,53,3835,2879,1
NEGRO,1,54,2911,2859,1
NEGRO,1,55,3420,2926,1
NEGRO,1,56,3628,2926,1
NEGRO,1,57,3584,2932,1
NEGRO,1,58,2767,2874,1
NEGRO,1,59,4040,2875,1
NEGRO,1,60,4027,2863,1
NEGRO,2,1,4079,2933,1
NEGRO,2,2,4095,2927,1
NEGRO,2,3,4095,2934,1
NEGRO,2,4,4095,2932,1
NEGRO,2,5,4094,2856,1
NEGRO,2,6,4061,2920,1
NEGRO,2,7,4094,2905,1
NEGRO,2,8,3801,2781,1
NEGRO,2,9,3736,2868,1
NEGRO,2,10,3629,2932,1
NEGRO,2,11,3838,2917,1
NEGRO,2,12,3157,2888,1
NEGRO,2,13,3115,2846,1
NEGRO,2,14,3059,2883,1
NEGRO,2,15,3666,2873,1
NEGRO,2,16,4095,2916,1
NEGRO,2,17,3722,2903,1
NEGRO,2,18,4095,2900,1
NEGRO,2,19,4068,2923,1
NEGRO,2,20,4023,2934,1
