# ROVER IR SENSOR CHARACTERIZATION
# Date: 2026-08-28 07:49:01.224453
# Surface: ROJO
# Number of points: 1
# Samples per point: 50
# Sample interval: 250 ms
# Movement time between points: 10 s
surface,point,sample,analog_QTRX_A,analog_QTRX_B,generic_IR
ROJO,1,1,2647,2695,1
ROJO,1,2,2221,2580,1
ROJO,1,3,2536,2513,1
ROJO,1,4,2118,2378,1
ROJO,1,5,2120,2595,1
ROJO,1,6,2375,2127,1
ROJO,1,7,1818,2424,1
ROJO,1,8,1947,2875,1
ROJO,1,9,2758,2808,1
ROJO,1,10,3633,2787,1
ROJO,1,11,2787,2872,1
ROJO,1,12,2900,2860,1
ROJO,1,13,2713,2840,1
ROJO,1,14,2416,2511,1
ROJO,1,15,2560,2578,1
ROJO,1,16,2530,2495,1
ROJO,1,17,2841,2708,1
ROJO,1,18,2889,2910,1
ROJO,1,19,2327,2609,1
ROJO,1,20,2533,2569,1
ROJO,1,21,2651,2511,1
ROJO,1,22,2404,2471,1
ROJO,1,23,2799,2572,1
ROJO,1,24,2746,2649,1
ROJO,1,25,2920,2531,1
ROJO,1,26,2624,2536,1
ROJO,1,27,2152,2828,1
ROJO,1,28,2150,2882,1
ROJO,1,29,2251,2861,1
ROJO,1,30,2612,2906,1
ROJO,1,31,2587,2825,1
ROJO,1,32,2561,2769,1
ROJO,1,33,2759,2889,1
ROJO,1,34,2289,2905,1
ROJO,1,35,2672,2911,1
ROJO,1,36,2866,2911,1
ROJO,1,37,2700,2892,1
ROJO,1,38,2916,2908,1
ROJO,1,39,3146,2843,1
ROJO,1,40,3367,2754,1
ROJO,1,41,3274,2459,1
ROJO,1,42,2765,2392,1
ROJO,1,43,2226,2635,1
ROJO,1,44,2312,2633,1
ROJO,1,45,2691,2671,1
ROJO,1,46,1962,2576,1
ROJO,1,47,2547,2482,1
ROJO,1,48,2714,2424,1
ROJO,1,49,2649,2588,1
ROJO,1,50,2364,2882,1
